key,Result
21338,1
21339,-1
21340,-1
21341,-1
21342,1
21343,1
21344,1
21345,1
21346,1
21347,-1
21348,1
21349,-1
21350,1
21351,1
21352,1
21353,1
21354,-1
21355,-1
21356,1
21357,-99
21358,1
21359,-1
21360,-1
21361,1
21362,1
21363,1
21364,-1
21365,-1
21366,1
21367,1
21368,-1
21369,-1
21370,-1
21371,1
21372,1
21373,1
21374,1
21375,1
21376,1
21377,1
21378,-1
21379,-1
21380,-1
21381,1
21382,1
21383,1
21384,1
21385,-1
21386,1
21387,-1
21388,-1
21389,-1
21390,1
21391,1
21392,-99
21393,1
21394,1
21395,-1
21396,1
21397,-1
21398,1
21399,-1
21400,1
21401,-1
21402,-1
21403,-1
21404,-1
21405,-1
21406,1
21407,-1
21408,1
21409,1
21410,-1
21411,-1
21412,1
21413,-1
21414,-1
21415,1
21416,-1
21417,-99
21418,1
21419,-1
21420,1
21421,-1
21422,-1
21423,1
21424,-1
21425,1
21426,1
21427,-1
21428,-1
21429,-1
21430,1
21431,-1
21432,-1
21433,-1
21434,-1
21435,-99
21436,1
21437,1
21438,1
21439,-1
21440,1
21441,-1
21442,1
21443,-1
21444,-99
21445,1
21446,1
21447,1
21448,-99
21449,1
21450,1
21451,-99
21452,-99
21453,1
21454,-1
21455,1
21456,1
21457,1
21458,-1
21459,1
21460,1
21461,-1
21462,-1
21463,1
21464,1
21465,1
21466,1
21467,1
21468,-1
21469,-1
21470,1
21471,1
21472,1
21473,-99
21474,-1
21475,-1
21476,1
21477,-1
21478,-1
21479,-1
21480,1
21481,1
21482,1
21483,-1
21484,-1
21485,1
21486,-1
21487,1
21488,1
21489,1
21490,-1
21491,1
21492,-99
21493,-1
21494,1
21495,-1
21496,1
21497,-1
21498,-1
21499,-1
21500,1
21501,-1
21502,1
21503,1
21504,1
21505,1
21506,-1
21507,-1
21508,-1
21509,-1
21510,-1
21511,1
21512,-1
21513,-1
21514,1
21515,-99
21516,1
21517,-1
21518,1
21519,1
21520,-1
21521,1
21522,1
21523,-1
21524,-1
21525,-1
21526,1
21527,1
21528,1
21529,1
21530,-1
21531,1
21532,-1
21533,-1
21534,1
21535,-1
21536,1
21537,-1
21538,-1
21539,-1
21540,1
21541,1
21542,-1
21543,1
21544,-1
21545,1
21546,1
21547,-1
21548,1
21549,-1
21550,-1
21551,-1
21552,1
21553,-1
21554,1
21555,-1
21556,-99
21557,-1
21558,1
21559,1
21560,1
21561,-1
21562,1
21563,-1
21564,-1
21565,1
21566,-1
21567,1
21568,1
21569,1
21570,-1
21571,1
21572,1
21573,1
21574,1
21575,-1
21576,1
21577,1
21578,1
21579,-99
21580,1
21581,1
21582,1
21583,-99
21584,-1
21585,-1
21586,-99
21587,-1
21588,-1
21589,-1
21590,1
21591,1
21592,-1
21593,-99
21594,-1
21595,-1
21596,-99
21597,1
21598,-1
21599,-99
21600,1
21601,-1
21602,1
21603,-1
21604,-1
21605,-1
21606,1
21607,1
21608,-1
21609,1
21610,1
21611,-1
21612,-1
21613,1
21614,1
21615,1
21616,-1
21617,-1
21618,-1
21619,-1
21620,1
21621,1
21622,-99
21623,-99
21624,1
21625,-1
21626,-1
21627,-99
21628,1
21629,1
21630,1
21631,1
21632,1
21633,-1
21634,1
21635,1
21636,-99
21637,-1
21638,-99
21639,-1
21640,1
21641,1
21642,-1
21643,-1
21644,-1
21645,-1
21646,-1
21647,1
21648,-1
21649,-1
21650,-1
21651,-1
21652,1
21653,1
21654,-1
21655,-1
21656,1
21657,1
21658,-1
21659,1
21660,-1
21661,-1
21662,1
21663,1
21664,-1
21665,1
21666,-1
21667,-1
21668,1
21669,1
21670,1
21671,-1
21672,1
21673,-1
21674,1
21675,-1
21676,1
21677,1
21678,1
21679,1
21680,-1
21681,1
21682,1
21683,1
21684,-1
21685,-1
21686,1
21687,-1
21688,-1
21689,-1
21690,1
21691,-99
21692,-1
21693,-99
21694,1
21695,-1
21696,1
21697,1
21698,1
21699,-1
21700,-1
21701,1
21702,-1
21703,-1
21704,-1
21705,1
21706,-1
21707,-1
21708,1
21709,-1
21710,-1
21711,1
21712,1
21713,-1
21714,-1
21715,-1
21716,1
21717,-1
21718,1
21719,1
21720,-1
21721,-1
21722,-1
21723,1
21724,1
21725,1
21726,-1
21727,1
21728,-1
21729,-1
21730,1
21731,-1
21732,1
21733,-1
21734,-99
21735,1
21736,-1
21737,1
21738,1
21739,1
21740,1
21741,1
21742,1
21743,-1
21744,1
21745,1
21746,1
21747,1
21748,-1
21749,1
21750,1
21751,-1
21752,1
21753,-1
21754,-99
21755,1
21756,-1
21757,1
21758,-1
21759,-1
21760,-1
21761,1
21762,1
21763,1
21764,1
21765,1
21766,-1
21767,1
21768,-1
21769,1
21770,1
21771,1
21772,1
21773,1
21774,-1
21775,1
21776,-1
21777,1
21778,-1
21779,-1
21780,1
21781,1
21782,1
21783,-1
21784,-1
21785,1
21786,1
21787,-1
21788,-1
21789,-1
21790,1
21791,1
21792,1
21793,1
21794,1
21795,1
21796,1
21797,-1
21798,-1
21799,-1
21800,1
21801,1
21802,-99
21803,1
21804,-1
21805,1
21806,-1
21807,-1
21808,-1
21809,1
21810,1
21811,-99
21812,1
21813,1
21814,-1
21815,1
21816,-1
21817,1
21818,-99
21819,1
21820,-1
21821,-1
21822,-1
21823,-1
21824,-1
21825,1
21826,-99
21827,1
21828,1
21829,-1
21830,-1
21831,1
21832,-1
21833,-1
21834,1
21835,-1
21836,-1
21837,1
21838,-1
21839,1
21840,-1
21841,-1
21842,1
21843,-1
21844,1
21845,1
21846,-1
21847,-1
21848,-1
21849,1
21850,-1
21851,-1
21852,-1
21853,-1
21854,-99
21855,1
21856,1
21857,1
21858,-1
21859,1
21860,-1
21861,1
21862,-99
21863,-1
21864,1
21865,1
21866,1
21867,-99
21868,1
21869,1
21870,1
21871,-99
21872,1
21873,-1
21874,-99
21875,1
21876,1
21877,-1
21878,1
21879,1
21880,-1
21881,-1
21882,1
21883,1
21884,1
21885,1
21886,1
21887,-1
21888,-1
21889,1
21890,1
21891,1
21892,-1
21893,-1
21894,-1
21895,1
21896,-1
21897,-1
21898,-1
21899,1
21900,1
21901,1
21902,-1
21903,-1
21904,1
21905,-1
21906,1
21907,1
21908,1
21909,-1
21910,1
21911,-99
21912,-1
21913,1
21914,-1
21915,1
21916,-1
21917,-1
21918,-1
21919,1
21920,1
21921,1
21922,1
21923,1
21924,1
21925,1
21926,-1
21927,-99
21928,-1
21929,1
21930,1
21931,-1
21932,-99
21933,1
21934,-1
21935,1
21936,-1
21937,1
21938,1
21939,-1
21940,1
21941,1
21942,-1
21943,-99
21944,-1
21945,1
21946,1
21947,1
21948,1
21949,-1
21950,1
21951,-1
21952,-1
21953,1
21954,-1
21955,1
21956,-1
21957,-1
21958,-1
21959,1
21960,1
21961,-1
21962,1
21963,-1
21964,1
21965,1
21966,-1
21967,1
21968,-1
21969,-1
21970,-1
21971,1
21972,-1
21973,1
21974,-1
21975,-99
21976,-1
21977,1
21978,1
21979,1
21980,-1
21981,1
21982,-1
21983,-1
21984,1
21985,-1
21986,1
21987,1
21988,1
21989,-1
21990,1
21991,1
21992,1
21993,1
21994,-1
21995,1
21996,1
21997,1
21998,-1
21999,1
22000,1
22001,1
22002,-1
22003,-1
22004,-1
22005,-1
22006,-1
22007,-1
22008,-1
22009,1
22010,1
22011,-1
22012,-99
22013,-1
22014,-99
22015,-1
22016,1
22017,-1
22018,-1
22019,1
22020,-1
22021,1
22022,-1
22023,-1
22024,-1
22025,1
22026,1
22027,-99
22028,1
22029,1
22030,-1
22031,-1
22032,1
22033,1
22034,1
22035,-1
22036,-1
22037,-1
22038,-1
22039,1
22040,1
22041,-99
22042,-99
22043,1
22044,-1
22045,-1
22046,-1
22047,1
22048,1
22049,1
22050,1
22051,1
22052,-1
22053,1
22054,1
22055,1
22056,-1
22057,-99
22058,-1
22059,1
22060,1
22061,-1
22062,-1
22063,-1
22064,-1
22065,-1
22066,1
22067,-1
22068,-1
22069,-1
22070,1
22071,1
22072,-99
22073,1
22074,1
22075,1
22076,1
22077,1
22078,-1
22079,-1
22080,-1
22081,1
22082,-1
22083,1
22084,-1
22085,1
22086,-99
22087,-1
22088,-1
22089,1
22090,-1
22091,1
22092,1
22093,1
22094,-1
22095,-1
22096,1
22097,1
22098,-1
22099,1
22100,1
22101,-99
22102,1
22103,-1
22104,-1
22105,1
22106,-1
22107,1
22108,1
22109,1
22110,1
22111,1
22112,-1
22113,-1
22114,1
22115,1
22116,-1
22117,-1
22118,1
22119,-1
22120,-1
22121,1
22122,1
22123,-99
22124,-1
22125,-1
22126,1
22127,1
22128,1
22129,-1
22130,1
22131,-1
22132,-1
22133,-1
22134,-1
22135,1
22136,-1
22137,1
22138,1
22139,1
22140,1
22141,1
22142,1
22143,1
22144,1
22145,-99
22146,1
22147,-1
22148,-1
22149,-1
22150,1
22151,-99
22152,1
22153,1
22154,-99
22155,1
22156,-99
22157,-1
22158,1
22159,-1
22160,-1
22161,1
22162,-1
22163,-99
22164,1
22165,-99
22166,-1
22167,1
22168,1
22169,-1
22170,1
22171,-1
22172,-1
22173,-1
22174,-1
22175,1
22176,1
22177,1
22178,1
22179,-1
22180,1
22181,-1
22182,1
22183,1
22184,1
22185,-1
22186,1
22187,-1
22188,-1
22189,-1
